ID,Type,Collection Period,Date,Season,Latitude,Longitude,Unspec,Spec,Half,Two,TwoVeg,Live,DeadVegManual,SR,BP,IP,BS,VE,SG,DG,SH,SB,PW,KE,VV,WO,SL,MI,Viewshed,Pioneer_Builders,Secondary_Stabilizers,Secondary_Builders,Pioneer_Stabilizers,Tertiary_Stabilizers,NonVeg
6,Nest,"w/in est/hatch, but fail determined 4/8",2024-04-25T00:00:00Z,Nesting,36.73584,-121.80467,None,Ice Plant,0.07,0.01,0.004,0,0.004,0,0,0.004,0,0,0,0,0,0,0,0,5.000000000000004e-4,0.004,0.001,5.000000000000004e-4,300,0,0.004,0,0,0,0.006
3,Nest,after hatch,2024-04-25T00:00:00Z,Nesting,36.73632,-121.80431,None,Ice Plant,0.05,0.05,0.020000000000000018,0.002,0.018000000000000016,0.0025,0,0.017500000000000016,0,0,0,0,0,0,0,0.005,0.0025,0.020000000000000018,0,0.0025,360,0.0025,0.017500000000000016,0,0,0,0.030000000000000027
12,Nest,w/in est/hatch,2024-04-25T00:00:00Z,Nesting,36.73862,-121.80415,None,Beach Pea,0.45,0.25,0.25,0.225,0.025,0.1,0.075,0,0.075,0,0.025,0,0,0,0,0,0.0125,0,0,0,360,0.1,0.1,0,0.075,0,0.0125
20,Nest,date found,2024-04-25T00:00:00Z,Nesting,36.74001,-121.803616,None,Beach Bur Sage,0.1,0.15,0.15,0.15,0,0.015000000000000003,0,0,0.09,0.022500000000000003,0.022500000000000003,0,0,0,0,0,0,0,0,0,360,0.015000000000000003,0.045000000000000005,0,0.09,0,0
9,Nest,"w/in est/hatch, but fail determined 4/8",2024-04-25T00:00:00Z,Nesting,36.7394,-121.80366,None,Kelp,0.05,0.05,0.020000000000000018,0.004,0.016000000000000014,0.0075,0,0.012500000000000011,0,0,0,0,0,0,0,0.020000000000000018,0,0.010000000000000009,0,0,360,0.0075,0.012500000000000011,0,0,0,0.030000000000000027
8,Nest,"w/in est/hatch, but fail determined 4/8",2024-04-25T00:00:00Z,Nesting,36.73906,-121.80362,None,Woody,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475,0,0.0025,360,0,0,0,0,0,0.050000000000000044
1,Nest,after hatch,2024-04-25T00:00:00Z,Nesting,36.74317,-121.80336,None,Ice Plant,0.05,0.01,0.009,4.500000000000001e-4,0.00855,5e-4,0,0.0085,0,0,0,0,0,0,0,5e-4,0,5e-4,0,0,360,5e-4,0.0085,0,0,0,0.001
19,Nest,w/in est/hatch,2024-04-25T00:00:00Z,Nesting,36.74412,-121.80419,None,Woody,0.1,0.05,0.005,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.0425,0,0.0025,360,0.005,0,0,0,0,0.045000000000000005
10,Nest,w/in est/hatch,2024-04-25T00:00:00Z,Nesting,36.74743,-121.8044,None,Woody,0.1,0.05,0.0025,0.0025,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0.0475,0,0,360,0,0,0,0.0025,0,0.0475
21,Nest,date found,2024-04-25T00:00:00Z,Nesting,36.747718,-121.804075,None,Woody,0.1,0.05,0.019999999999999997,0.019999999999999997,0,0,0,0,0,0.0025,0,0,0,0.017499999999999998,0,0,0,0.03,0,0,350,0.017499999999999998,0.0025,0,0,0,0.03
14,Nest,w/in est/hatch,2024-04-25T00:00:00Z,Nesting,36.74842,-121.80389,None,Shell,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.001,0,360,0,0,0,0,0,0.010000000000000002
38,Nest,w/in est/hatch,2024-06-07T00:00:00Z,Nesting,36.74778,-121.80357,None,Sea Rocket,0.1,0.05,0.03,0.027,0.003,0.03,0,0,0,0,0,0,0,0,0,0,0,0.017499999999999998,0,0.0025,350,0.03,0,0,0,0,0.019999999999999997
40,Nest,w/in est/hatch,2024-06-07T00:00:00Z,Nesting,36.74774,-121.80337,None,Woody,0.3,0.3,0.2,0.2,0,0.09,0,0,0.12,0,0,0,0,0,0,0,0,0.09,0,0,300,0.09,0,0,0.12,0,0.09
36,Nest,w/in est/hatch,2024-06-07T00:00:00Z,Nesting,36.74445,-121.80415,None,Woody,0.05,0.05,0.020000000000000004,0.017,0.003,0.020000000000000004,0,0,0,0,0,0,0,0,0,0,0,0.027500000000000004,0,0.0025,360,0.020000000000000004,0,0,0,0,0.030000000000000006
25,Nest,after hatch,2024-06-07T00:00:00Z,Nesting,36.74403,-121.80338,None,Woody,0.05,0.01,5e-4,2.5e-4,2.5e-4,2.5e-4,0,2.5e-4,0,0,0,0,0,0,0,0,0,0.0095,0,0,360,2.5e-4,2.5e-4,0,0,0,0.0095
31,Nest,w/in est/hatch,2024-06-07T00:00:00Z,Nesting,36.74322,-121.80336,None,Woody,0.1,0.05,0.025000000000000005,0.012500000000000002,0.012500000000000002,0.020000000000000004,0,0.005,0,0,0,0,0,0,0,0,0,0.025,0,0,360,0.020000000000000004,0.005,0,0,0,0.025
37,Nest,w/in est/hatch,2024-06-07T00:00:00Z,Nesting,36.74214,-121.80363,None,Woody,0.35,0.3,0.255,0.24225,0.012750000000000001,0,0,0.015,0,0,0.24,0,0,0,0,0,0,0.03,0.015,0,360,0,0.255,0,0,0,0.045
27,Nest,after hatch,2024-06-07T00:00:00Z,Nesting,36.74112,-121.80338,None,Ice Plant,0.05,0.01,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0.01,0,0,0,0
29,Nest,w/in est/hatch,2024-06-07T00:00:00Z,Nesting,36.73836,-121.80413,None,None,0.1,0.1,0.07,0.049,0.021,0.06,0,0.010000000000000002,0,0,0,0,0,0,0,0,0,0.03,0,0,300,0.06,0.010000000000000002,0,0,0,0.03
41,Nest,w/in est/hatch,2024-06-14T00:00:00Z,Nesting,36.7359,-121.80469,None,Ice Plant,0.05,0.05,0.025,0,0.025,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.0125,0.0125,300,0,0.025,0,0,0,0.025
51,Nest,w/in est/hatch,2024-06-14T00:00:00Z,Nesting,36.735847,-121.804217,None,Woody,0.1,0.05,0.025,0,0.025,0,0,0.025,0,0,0,0,0,0,0,0,0,0.025,0,0,360,0,0.025,0,0,0,0.025
43,Nest,w/in est/hatch,2024-06-14T00:00:00Z,Nesting,36.73657,-121.80362,None,Verbena,0.1,0.1,0.07,0.07,0,0.020000000000000004,0,0,0,0.06,0,0,0,0,0,0,0,0.020000000000000004,0,0,330,0.020000000000000004,0.06,0,0,0,0.020000000000000004
53,Nest,date found,2024-06-14T00:00:00Z,Nesting,36.736355,-121.804043,None,None,0.05,0.01,0.0085,0.0085,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,360,0.0085,0,0,0,0,0.0015
44,Nest,w/in est/hatch,2024-06-14T00:00:00Z,Nesting,36.73729,-121.80318,None,Woody,0.05,0.01,0.007,0,0.007,0.001,0,0.006,0,0,0,0,0,0,0,0,0,0.003,0,0,360,0.001,0.006,0,0,0,0.003
34,Nest,w/in est/hatch,2024-06-14T00:00:00Z,Nesting,36.73767,-121.80446,None,Woody,0.05,0.01,0.006,0.0048,0.0012,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0.004,0,0,320,0.004,0.002,0,0,0,0.004
30,Nest,after lost/est hatch,2024-06-14T00:00:00Z,Nesting,36.739069,-121.803121,None,Woody,0.2,0.05,0.04,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.010000000000000002,0,0,360,0,0.04,0,0,0,0.010000000000000002
46,Nest,w/in est/hatch,2024-06-14T00:00:00Z,Nesting,36.73925,-121.80334,None,Sea Rocket,0.15,0.1,0.095,0.09025,0.00475,0.04,0,0.005,0.025,0.025,0,0,0,0,0,0,0,0.005,0,0,360,0.04,0.030000000000000002,0,0.025,0,0.005
48,Nest,w/in est/hatch,2024-06-14T00:00:00Z,Nesting,36.73925,-121.80423,On Dune,Woody,0.3,0.15,0.1,0.1,0,0.0525,0,0,0.075,0,0,0,0,0,0,0,0,0.03,0,0,270,0.0525,0,0,0.075,0,0.03
28,Nest,after hatch,2024-06-14T00:00:00Z,Nesting,36.73979,-121.80403,On Dune,Beach Bur Sage,0.3,0.25,0.25,0.25,0,0.025,0,0,0.225,0,0,0,0,0,0,0,0,0,0,0,360,0.025,0,0,0.225,0,0
49,Nest,w/in est/hatch,2024-06-14T00:00:00Z,Nesting,36.74095,-121.80361,None,Woody,0.1,0.01,0.0045,0,0.0045,0,0,0.0045,0,0,0,0,0,0,0,0,0,0.0045,0,0.001,360,0,0.0045,0,0,0,0.0055
50,Nest,w/in est/hatch,2024-06-14T00:00:00Z,Nesting,36.74178,-121.80435,None,Woody,0.05,0.01,0.002,0,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.006,0.002,330,0,0.002,0,0,0,0.008
52,Nest,w/in est/hatch,2024-06-14T00:00:00Z,Nesting,36.7384,-121.80374,None,Sea Rocket,0.1,0.25,0.2,0.2,0,0.1,0.0625,0,0,0,0.075,0,0,0,0,0,0,0.025,0,0,300,0.1,0.1375,0,0,0,0.025
45,Nest,w/in est/hatch,2024-06-14T00:00:00Z,Nesting,36.73809,-121.8045,None,None,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,345,0,0,0,0,0,0.01
62,Nest,w/in est/hatch,2024-07-10T00:00:00Z,Nesting,36.73811,-121.80464,None,Ice Plant,0.1,0.05,0.025,0.025,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.025,0,345,0,0.025,0,0,0,0.025
64,Nest,w/in est/hatch,2024-07-10T00:00:00Z,Nesting,36.73952,-121.80414,None,Sea Rocket,0.15,0.05,0.030000000000000006,0.021,0.009,0.020000000000000004,0,0.010000000000000002,0,0,0,0,0,0,0,0,0,0.020000000000000004,0,0,360,0.020000000000000004,0.010000000000000002,0,0,0,0.020000000000000004
58,Nest,w/in est/hatch,2024-07-10T00:00:00Z,Nesting,36.74081,-121.80441,None,Shell,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,240,0,0,0,0,0,0.05
59,Nest,w/in est/hatch,2024-07-10T00:00:00Z,Nesting,36.74217,-121.80388,None,Woody,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.020000000000000004,0,345,0,0,0,0,0,0.05
57,Nest,w/in est/hatch,2024-07-10T00:00:00Z,Nesting,36.74243,-121.80287,None,Woody,0.1,0.05,0.034999999999999996,0.0315,0.0035,0.034999999999999996,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,360,0.034999999999999996,0,0,0,0,0.015
65,Nest,w/in est/hatch,2024-07-10T00:00:00Z,Nesting,36.74492,-121.80485,None,Woody,0.1,0.05,0.0075,0,0.0075,0,0,0.0075,0,0,0,0,0,0,0,0,0,0.03,0.0075,0.005,360,0,0.0075,0,0,0,0.042499999999999996
63,Nest,"w/in est/hatch, but later determined found lost on 7/10",2024-07-10T00:00:00Z,Nesting,36.744688,-121.80453,None,Sea Rocket,0.15,0.1,0.10000000000000002,0.020000000000000004,0.08,0.020000000000000004,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,300,0.020000000000000004,0.08,0,0,0,0
56,Nest,"w/in est/hatch, but later determined found lost on 7/1",2024-07-10T00:00:00Z,Nesting,36.745018,-121.803261,None,Beach Pea,0.2,0.15,0.15,0.15,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0.15,0,0,0,0
61,Nest,w/in est/hatch,2024-07-24T00:00:00Z,Nesting,36.73615,-121.8045,None,Woody,0.05,0.05,0.045,0.036,0.009,0.03,0.010000000000000002,0,0,0.005,0,0,0,0,0,0,0,0.005,0,0,315,0.03,0.015000000000000003,0,0,0,0.005
54,Nest,"w/in est/hatch, but later determined found lost on 7/3",2024-07-24T00:00:00Z,Nesting,36.736475,-121.804451,None,None,0.1,0.05,0.027500000000000004,0.024750000000000005,0.00275,0.022500000000000003,0,0.005,0,0,0,0,0,0,0,0,0,0.022500000000000003,0,0,285,0.022500000000000003,0.005,0,0,0,0.022500000000000003
60,Nest,after hatch,2024-07-30T00:00:00Z,Nesting,36.7354,-121.80496,None,Sea Rocket,0.1,0.05,0.033333333337000004,0.016666666668500002,0.016666666668500002,0.016666666670000004,0,0.016666666667000004,0,0,0,0,0,0,0,0,0,0.016666667,0,0,360,0.016666666670000004,0.016666666667000004,0,0,0,0.016666667
6,Nest,NA,2024-10-07T00:00:00Z,Fall,36.73584,-121.80467,None,Ice Plant,0.05,0.01,0.006,0,0.006,0,0,0.006,0,0,0,0,0,0,0,0,0,0.004,0,0,300,0,0.006,0,0,0,0.004
3,Nest,NA,2024-10-07T00:00:00Z,Fall,36.73632,-121.80431,None,Ice Plant,0.05,0.1,0.05,0.020000000000000004,0.030000000000000006,0.04,0,0.010000000000000002,0,0,0,0,0,0,0,0.025,0,0.025,0,0,360,0.04,0.010000000000000002,0,0,0,0.05
12,Nest,NA,2024-10-09T00:00:00Z,Fall,36.73862,-121.80415,On Dune,Sea Rocket (Dead),0.2,0.25,0.25,0.1625,0.125,0.05,0.025,0,0.175,0,0.025,0,0,0,0,0,0,0,0,0,360,0.05,0.05,0,0.175,0,0
20,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74001,-121.803616,None,Beach-bur Sage,0.4,0.25,0.25,0.175,0.075,0.025,0,0,0.175,0.0125,0.0375,0,0,0,0,0,0,0,0,0,345,0.025,0.05,0,0.175,0,0
9,Nest,NA,2024-10-09T00:00:00Z,Fall,36.7394,-121.80366,None,None,0.1,0.05,0.02,0.002,0.018000000000000002,0.005,0,0.015,0,0,0,0,0,0,0,0.015,0,0.015,0,0,315,0.005,0.015,0,0,0,0.03
8,Nest,NA,2024-10-09T00:00:00Z,Fall,36.73906,-121.80362,None,Woody,0.1,0.05,0.005,0,0.005,0,0,0.005,0,0,0,0,0,0,0,0,0,0.045000000000000005,0,0,360,0,0.005,0,0,0,0.045000000000000005
1,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74317,-121.80336,None,Ice Plant (Dead),0.1,0.05,0.045,0.027,0.018,0.03,0,0.015,0,0,0,0,0,0,0,0,0,0.005,0,0,360,0.03,0.015,0,0,0,0.005
19,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74412,-121.80419,None,Woody,0.15,0.15,0.12,0.084,0.036,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0.03,0,0,315,0.06,0,0,0.06,0,0.03
10,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74743,-121.8044,Spit,Beach-bur Sage,0.35,0.25,0.2,0.17,0.03,0.025,0,0,0.0875,0,0,0,0,0,0,0,0,0.0875,0,0.05,360,0.025,0,0,0.0875,0,0.1375
21,Nest,NA,2024-10-10T00:00:00Z,Fall,36.747718,-121.804075,In River,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74842,-121.80389,In River,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74778,-121.80357,In River,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74774,-121.80337,Spit,Beach-bur Sage,0.25,0.15,0.13,0.065,0.065,0,0,0,0.1275,0,0,0,0,0,0,0,0,0.015,0.0075,0,285,0,0,0,0.1275,0,0.0225
36,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74445,-121.80415,Spit,Ice Plant,0.2,0.2,0.14,0.084,0.056,0.08,0,0.06,0,0,0,0,0,0,0,0,0,0.06,0,0,360,0.08,0.06,0,0,0,0.06
25,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74403,-121.80338,None,Ice Plant,0.2,0.05,0.037500000000000006,0.030000000000000006,0.0075,0.020000000000000004,0,0.0125,0,0.005,0,0,0,0,0,0,0,0.0125,0,0,345,0.020000000000000004,0.0175,0,0,0,0.0125
31,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74322,-121.80336,None,Ice Plant,0.1,0.1,0.08,0.032,0.048,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0.020000000000000004,0,0,360,0.04,0.04,0,0,0,0.020000000000000004
37,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74214,-121.80363,None,Woody,0.4,0.4,0.34,0.30600000000000005,0.034,0,0,0,0,0,0.34,0,0,0,0,0,0,0.04,0.020000000000000004,0,360,0,0.34,0,0,0,0.06
27,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74112,-121.80338,None,Ice Plant,0.1,0.05,0.030000000000000006,0.006,0.024000000000000007,0.005,0,0.020000000000000004,0,0,0,0,0,0.005,0,0,0,0.020000000000000004,0,0,360,0.010000000000000002,0.020000000000000004,0,0,0,0.020000000000000004
29,Nest,NA,2024-10-09T00:00:00Z,Fall,36.73836,-121.80413,None,Sea Rocket (Dead),0.1,0.1,0.05,0.03,0.020000000000000004,0.03,0,0.020000000000000004,0,0,0,0,0,0,0,0,0,0.05,0,0,300,0.03,0.020000000000000004,0,0,0,0.05
41,Nest,NA,2024-10-07T00:00:00Z,Fall,36.7359,-121.80469,None,Ice Plant,0.05,0.01,0.0085,0,0.0085,0,0,0.0085,0,0,0,0,0,0,0,0,0,0.0015,0,0,300,0,0.0085,0,0,0,0.0015
51,Nest,NA,2024-10-07T00:00:00Z,Fall,36.735847,-121.804217,None,None,0.05,0.01,0.001,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0.009,0,0,360,0,0.001,0,0,0,0.009
43,Nest,NA,2024-10-07T00:00:00Z,Fall,36.73657,-121.80362,None,Verbena,0.05,0.1,0.025,0.0125,0.0125,0,0,0,0,0.025,0,0,0,0,0,0,0,0.075,0,0,300,0,0.025,0,0,0,0.075
53,Nest,NA,2024-10-07T00:00:00Z,Fall,36.736355,-121.804043,None,Sea Rocket,0.05,0.05,0.03,0.027,0.003,0.03,0,0,0,0,0,0,0,0,0,0,0,0.020000000000000004,0,0,360,0.03,0,0,0,0,0.020000000000000004
44,Nest,NA,2024-10-07T00:00:00Z,Fall,36.73729,-121.80318,None,Woody,0.05,0.01,0.004,0,0.004,0,0,0.004,0,0,0,0,0,0,0,0,0,0.006,0,0,360,0,0.004,0,0,0,0.006
34,Nest,NA,2024-10-09T00:00:00Z,Fall,36.73767,-121.80446,None,Woody/Sea Rocket,0.3,0.05,0.03,0.027,0.003,0.03,0,0,0,0,0,0,0,0,0,0,0,0.020000000000000004,0,0,300,0.03,0,0,0,0,0.020000000000000004
30,Nest,NA,2024-10-09T00:00:00Z,Fall,36.739069,-121.803121,None,Woody,0.2,0.15,0.12,0.12,0,0.03,0,0,0,0,0.09,0,0,0,0,0,0,0.0225,0,0.0075,360,0.03,0.09,0,0,0,0.03
46,Nest,NA,2024-10-09T00:00:00Z,Fall,36.73925,-121.80334,None,Sea Rocket,0.15,0.05,0.035,0.0245,0.0105,0.020000000000000004,0,0,0,0.015,0,0,0,0,0,0,0,0.015,0,0,315,0.020000000000000004,0.015,0,0,0,0.015
48,Nest,NA,2024-10-09T00:00:00Z,Fall,36.73925,-121.80423,On Dune,Woody,0.1,0.15,0.135,0.07425,0.07425,0.06,0,0,0.075,0,0,0,0,0,0,0,0,0.015,0,0,260,0.06,0,0,0.075,0,0.015
28,Nest,NA,2024-10-09T00:00:00Z,Fall,36.73979,-121.80403,On Dune,Beach-Bur Sage,0.1,0.15,0.15,0.12,0.045,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0.15,0,0
49,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74095,-121.80361,None,Woody,0.1,0.05,0.0075,0,0.0075,0,0,0.0075,0,0,0,0,0,0,0,0,0,0.0425,0,0,360,0,0.0075,0,0,0,0.0425
50,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74178,-121.80435,None,None,0.05,0.01,0.005,0,0.005,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.005,0,330,0,0.005,0,0,0,0.005
52,Nest,NA,2024-10-09T00:00:00Z,Fall,36.7384,-121.80374,None,Sea Rocket,0.15,0.25,0.2,0.13,0.06,0.1125,0,0,0.075,0,0.0875,0,0,0,0,0,0,0,0,0,260,0.1125,0.0875,0,0.075,0,0
45,Nest,NA,2024-10-09T00:00:00Z,Fall,36.73809,-121.8045,None,Ice Plant,0.05,0.01,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0.01,0,0,0,0
62,Nest,NA,2024-10-09T00:00:00Z,Fall,36.73811,-121.80464,None,Ice Plant,0.05,0.05,0.025,0,0.025,0,0,0.025,0,0,0,0,0,0,0,0,0,0.025,0,0,315,0,0.025,0,0,0,0.025
64,Nest,NA,2024-10-09T00:00:00Z,Fall,36.73952,-121.80414,None,Sea Rocket,0.15,0.1,0.06,0.045,0.015000000000000003,0.04,0,0.020000000000000004,0,0,0,0,0,0,0,0,0,0.04,0,0,360,0.04,0.020000000000000004,0,0,0,0.04
58,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74081,-121.80441,None,Shell,0.05,0.01,0.004,0,0.004,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.006,0,240,0,0.004,0,0,0,0.006
59,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74217,-121.80388,None,Woody,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.020000000000000004,0,345,0,0,0,0,0,0.05
57,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74243,-121.80287,None,Woody,0.1,0.1,0.07,0.063,0.007,0.07,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,360,0.07,0,0,0,0,0.03
65,Nest,NA,2024-10-10T00:00:00Z,Fall,36.74492,-121.80485,None,Woody,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11249999999999999,0.0375,0,360,0,0,0,0,0,0.15
